algo,n,trial,time_ns
mergesort,1000,0,302300
quicksort,1000,0,261600
select,1000,0,233300
closest,1000,0,1797800
mergesort,1000,1,147500
quicksort,1000,1,142600
select,1000,1,255600
closest,1000,1,1877700
mergesort,1000,2,208000
quicksort,1000,2,204700
select,1000,2,257800
closest,1000,2,2834000
mergesort,1000,3,185400
quicksort,1000,3,174600
select,1000,3,185200
closest,1000,3,3233600
mergesort,1000,4,271200
quicksort,1000,4,209500
select,1000,4,226600
closest,1000,4,3144900
mergesort,1000,5,375700
quicksort,1000,5,187100
select,1000,5,250200
closest,1000,5,2893800
mergesort,1000,6,180700
quicksort,1000,6,501400
select,1000,6,231700
closest,1000,6,2830700
mergesort,1000,7,275200
quicksort,1000,7,444600
select,1000,7,215500
closest,1000,7,2815200
mergesort,1000,8,259500
quicksort,1000,8,236400
select,1000,8,230200
closest,1000,8,3007400
mergesort,1000,9,211900
quicksort,1000,9,184600
select,1000,9,167800
closest,1000,9,2763200
mergesort,2000,0,570000
quicksort,2000,0,384800
select,2000,0,201200
closest,2000,0,5777400
mergesort,2000,1,582600
quicksort,2000,1,438000
select,2000,1,196300
closest,2000,1,6806200
mergesort,2000,2,394100
quicksort,2000,2,376100
select,2000,2,395400
closest,2000,2,6246000
mergesort,2000,3,472600
quicksort,2000,3,318500
select,2000,3,194900
closest,2000,3,6146800
mergesort,2000,4,590900
quicksort,2000,4,290500
select,2000,4,180800
closest,2000,4,6063200
mergesort,2000,5,468900
quicksort,2000,5,263500
select,2000,5,386000
closest,2000,5,8147700
mergesort,2000,6,555700
quicksort,2000,6,250100
select,2000,6,201200
closest,2000,6,4840200
mergesort,2000,7,737700
quicksort,2000,7,268700
select,2000,7,172400
closest,2000,7,6379200
mergesort,2000,8,640800
quicksort,2000,8,314100
select,2000,8,205700
closest,2000,8,5833200
mergesort,2000,9,620000
quicksort,2000,9,279700
select,2000,9,194500
closest,2000,9,6256200
mergesort,5000,0,1557300
quicksort,5000,0,466300
select,5000,0,291500
closest,5000,0,14885600
mergesort,5000,1,911900
quicksort,5000,1,500600
select,5000,1,283700
closest,5000,1,14360700
mergesort,5000,2,3737100
quicksort,5000,2,1529100
select,5000,2,464700
closest,5000,2,19535900
mergesort,5000,3,1696100
quicksort,5000,3,758100
select,5000,3,463200
closest,5000,3,15346300
mergesort,5000,4,1035100
quicksort,5000,4,468200
select,5000,4,339800
closest,5000,4,9575500
mergesort,5000,5,1545800
quicksort,5000,5,740100
select,5000,5,492800
closest,5000,5,6252000
mergesort,5000,6,1242400
quicksort,5000,6,475700
select,5000,6,273500
closest,5000,6,7089100
mergesort,5000,7,1048300
quicksort,5000,7,473000
select,5000,7,329200
closest,5000,7,7747200
mergesort,5000,8,1066100
quicksort,5000,8,591400
select,5000,8,519400
closest,5000,8,10313500
mergesort,5000,9,2069100
quicksort,5000,9,623800
select,5000,9,472800
closest,5000,9,19464900
mergesort,10000,0,1697300
quicksort,10000,0,1215200
select,10000,0,1033500
closest,10000,0,23865100
mergesort,10000,1,1738500
quicksort,10000,1,1519400
select,10000,1,1234600
closest,10000,1,16848500
mergesort,10000,2,1523000
quicksort,10000,2,1392900
select,10000,2,1321600
closest,10000,2,52279300
mergesort,10000,3,1677500
quicksort,10000,3,1771400
select,10000,3,740600
closest,10000,3,55163400
mergesort,10000,4,1121100
quicksort,10000,4,1028800
select,10000,4,503400
closest,10000,4,48863100
mergesort,10000,5,1650300
quicksort,10000,5,1253900
select,10000,5,693900
closest,10000,5,43081900
mergesort,10000,6,1611600
quicksort,10000,6,1245200
select,10000,6,688500
closest,10000,6,54602500
mergesort,10000,7,1538000
quicksort,10000,7,944300
select,10000,7,503900
closest,10000,7,59329600
mergesort,10000,8,1603500
quicksort,10000,8,1144900
select,10000,8,693800
closest,10000,8,61899400
mergesort,10000,9,1183600
quicksort,10000,9,1019000
select,10000,9,770400
closest,10000,9,61087100
mergesort,20000,0,2960200
quicksort,20000,0,2647800
select,20000,0,1158100
closest,20000,0,38410000
mergesort,20000,1,2648600
quicksort,20000,1,1956400
select,20000,1,815700
closest,20000,1,26488400
mergesort,20000,2,2326800
quicksort,20000,2,1812100
select,20000,2,645900
closest,20000,2,21961500
mergesort,20000,3,2341500
quicksort,20000,3,1898600
select,20000,3,592500
closest,20000,3,20682300
mergesort,20000,4,2490200
quicksort,20000,4,2164800
select,20000,4,789700
closest,20000,4,19819300
mergesort,20000,5,2337800
quicksort,20000,5,1822600
select,20000,5,548400
closest,20000,5,18655800
mergesort,20000,6,2392400
quicksort,20000,6,1905100
select,20000,6,616200
closest,20000,6,45565200
mergesort,20000,7,20129300
quicksort,20000,7,2303500
select,20000,7,592100
closest,20000,7,37446000
mergesort,20000,8,4287600
quicksort,20000,8,1873700
select,20000,8,595500
closest,20000,8,27125900
mergesort,20000,9,2512800
quicksort,20000,9,1854400
select,20000,9,554300
closest,20000,9,26690100
